Time [s], Analyzer Name, Decoded Protocol Result
5.178936083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.179023916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.179111666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.179199500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.193593250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.193976416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194064250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194152000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194239833333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194327666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194407500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194495250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194583083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194670916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194758666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194846500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.194934333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.195014166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.195101916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.195189750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.209503666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.209902750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.209990583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210070416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210158166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210246000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210333833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210421583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.210509416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
